,Variable,Mean_Loss,Std_Loss
195,Garage_Cond_Typical,0.004564272217690913,1.4010217078215819e-05
196,Garage_Cond_infrequent_sklearn,0.004600272202625084,2.252486341117685e-06
197,Paved_Drive_Partial_Pavement,0.0046005463576533215,3.201422584254332e-06
198,Paved_Drive_Paved,0.004610661786081642,4.055895156786771e-06
199,Pool_QC_infrequent_sklearn,0.004601318729068457,2.146751978918716e-06
200,Fence_Good_Wood,0.004601562833337919,4.24437286018356e-06
201,Fence_Minimum_Privacy,0.004591965420105065,6.2964213620665715e-06
202,Fence_No_Fence,0.004581313270282074,1.4747311048678176e-05
203,Fence_infrequent_sklearn,0.0046013210314636704,2.1555890885861264e-06
204,Misc_Feature_nan,0.0046038220689539645,3.1963668637722173e-06
205,Misc_Feature_infrequent_sklearn,0.004601318729068457,2.146751978918716e-06
206,Mo_Sold_2,0.004597542959551128,1.1198192999676845e-05
207,Mo_Sold_3,0.004606020499004817,1.4059051531831239e-05
208,Mo_Sold_4,0.004609359816184757,1.3326941400948431e-05
209,Mo_Sold_5,0.004601199385961849,2.203042007301386e-05
210,Mo_Sold_6,0.004593640726530345,2.2785817555492468e-05
211,Mo_Sold_7,0.00462033704300955,3.110104150309245e-05
212,Mo_Sold_8,0.004584714675294057,2.27539528364454e-05
213,Mo_Sold_9,0.004581839127586707,9.816817824185947e-06
214,Mo_Sold_10,0.00460015231753402,5.885654403803976e-06
215,Mo_Sold_11,0.00463785085692817,1.2169861396264434e-05
216,Mo_Sold_12,0.004598065121978928,8.837788046569223e-06
